Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-07-30,284.841064453125,285.98888391177906,278.9245711840717,281.5281825017839,2205300
2020-07-31,282.5546569824219,283.4505221564401,278.14060507293885,283.1705731892595,3913500
2020-08-03,283.32916259765625,284.54234107353,279.21377094915243,283.3105088287486,2628500
2020-08-04,284.1597900390625,288.22853395391763,280.02571519957286,281.742802138974,3594900
2020-08-05,291.597412109375,292.0546716342716,284.64505101465613,286.33414309373046,2982200
2020-08-06,293.0811767578125,295.1155486093953,289.66565682987647,291.1587844974666,3305300
2020-08-07,295.8528137207031,297.6912214626278,292.4092985671536,292.4092985671536,2600800
2020-08-10,297.7845153808594,299.06299649725736,294.4996288556476,295.8247871205303,2563600
2020-08-11,294.47161865234375,302.88911145663957,293.6410844177457,301.3493352175005,3018200
2020-08-12,300.7427978515625,301.69468148376245,296.42209939359185,296.7580382197476,2915800
2020-08-13,300.0428466796875,300.3694728032335,296.6086730173002,299.2589610706018,2159500
2020-08-14,302.0773010253906,302.29191911828127,297.4392889826766,299.12838121852377,1787200
2020-08-17,299.100341796875,302.1705534049377,298.01782492922314,299.97755325033353,2772500
2020-08-18,295.6474914550781,301.1160656949992,294.620964364406,300.4721545417159,2520000
2020-08-19,294.33160400390625,298.14839286185577,294.1262986347704,295.6100848793741,2066700
2020-08-20,292.3999328613281,294.2196866763151,291.1681288649647,293.7997347254591,2245600
2020-08-21,293.1558532714844,294.21968788348704,289.3763711353986,290.4868828971555,2488500
2020-08-24,288.2098693847656,295.73146914887894,286.01684076095154,295.6474844542276,2922200
2020-08-25,291.3641357421875,291.4947691261668,287.23937311549616,291.3454819670608,1879300
2020-08-26,288.19122314453125,290.5615338663101,283.3292240210958,290.2069413059729,3178900
2020-08-27,290.8507995605469,293.74370018923423,285.08359511465596,289.67495706047555,2321000
2020-08-28,293.3705139160156,294.72366731159553,288.331232148796,291.47611624963145,2883500
2020-08-31,291.6720275878906,298.213777201092,291.66271494151306,293.8557434867912,4341600
2020-09-01,291.933349609375,293.6971137330604,289.29240246602876,289.4417180912384,2487100
2020-09-02,298.848388671875,299.81892604176255,291.68140919973206,291.68140919973206,2846500
2020-09-03,295.1063232421875,302.189319273179,292.7733194712792,300.4908856929858,3872500
2020-09-04,291.1587829589844,296.5993335841385,286.1474969243177,295.3395347103375,2901000
2020-09-08,286.72607421875,290.6548433722375,283.5345135225427,290.2535736834838,2594500
2020-09-09,291.1773986816406,294.2569794171707,287.8178974851171,288.9937115122853,2195600
2020-09-10,284.2531433105469,293.43584138396426,283.43192154739603,291.8400750136414,2421200
2020-09-11,282.50079345703125,287.16726679707034,278.5745662739699,285.86478701217254,3085900
2020-09-14,289.14453125,291.53398909616214,283.93455345024074,283.93455345024074,1795500
2020-09-15,287.8889465332031,291.8526368546498,286.78320939206134,290.5313972153663,1468300
2020-09-16,287.2235107421875,292.5927980026378,286.9236775663639,289.61299670676993,3438200
2020-09-17,285.78045654296875,288.02936246050575,283.09110902297635,285.3306639209053,2394100
