Date,Price,Close,High,Low,Open,Volume,Daily Return,Price Range,Volume Change
114,2020-06-16,182.3000030517578,186.6999969482422,179.75,186.5500030517578,9407600,0.004131093293268551,6.9499969482421875,0.1606869663919459
115,2020-06-17,180.8600006103516,183.1499938964844,180.11000061035156,183.02999877929688,6448500,-0.007899080731213037,3.039993286132841,-0.31454356052553256
116,2020-06-18,180.72999572753903,181.3600006103516,179.0399932861328,179.89999389648438,4920900,-0.0007188150081489653,2.3200073242187784,-0.2368923005350081
117,2020-06-19,179.72000122070312,183.8800048828125,179.00999450683594,183.5,8767900,-0.0055884165922215345,4.8700103759765625,0.7817675628441951
118,2020-06-22,180.1699981689453,181.8000030517578,178.8699951171875,179.5500030517578,5816900,0.0025038779500650143,2.9300079345703125,-0.3365686196238552
119,2020-06-23,181.00999450683597,182.38999938964844,180.3999938964844,181.8699951171875,6378100,0.004662243139409883,1.990005493164034,0.09647750520036436
120,2020-06-24,177.52999877929688,179.64999389648438,177.25999450683594,179.61000061035156,8081200,-0.01922543413705069,2.3899993896484375,0.26702309465201246
121,2020-06-25,178.85000610351562,179.72000122070312,176.05999755859375,176.5800018310547,6380000,0.007435404344590557,3.660003662109375,-0.21051329010542985
122,2020-06-26,175.3699951171875,178.6999969482422,174.6300048828125,176.7100067138672,14772100,-0.01945770683571546,4.0699920654296875,1.3153761755485895
123,2020-06-29,177.19000244140625,177.22000122070312,175.3300018310547,175.89999389648438,5218200,0.010378099873941116,1.8899993896484375,-0.6467530005889481
124,2020-06-30,178.50999450683594,179.1199951171875,176.50999450683594,176.75,6763800,0.007449585457656838,2.6100006103515625,0.2961940899160631
125,2020-07-01,177.99000549316406,180.4499969482422,177.33999633789062,178.41000366210938,4619800,-0.0029129406177420547,3.1100006103515625,-0.31698157840267305
126,2020-07-02,178.8300018310547,180.94000244140625,178.24000549316406,180.4499969482422,5163100,0.00471934553607789,2.6999969482421875,0.1176024936144422
127,2020-07-06,182.72000122070312,183.5200042724609,181.58999633789065,183.1000061035156,6443300,0.021752498740806425,1.9300079345702557,0.24795181189595406
128,2020-07-07,181.1499938964844,182.4900054931641,180.6000061035156,182.0200042724609,4952100,-0.008592421813320539,1.8899993896484943,-0.23143420297052752
129,2020-07-08,181.1999969482422,182.30999755859372,179.77000427246094,180.4199981689453,5547800,0.0002760312086256267,2.539993286132784,0.1202924012035298
130,2020-07-09,178.8000030517578,181.8800048828125,177.77000427246094,181.7899932861328,5420600,-0.013244999651793044,4.1100006103515625,-0.022928007498467906
131,2020-07-10,182.8999938964844,182.9600067138672,178.08999633789062,178.25999450683594,5482300,0.022930597174205536,4.8700103759765625,0.011382503781869113
132,2020-07-13,184.1300048828125,185.82000732421875,183.30999755859372,183.80999755859372,7885600,0.006725046623152098,2.5100097656250284,0.4383744049030516
133,2020-07-14,189.7100067138672,190.0800018310547,182.4199981689453,182.4199981689453,14683400,0.030304685184829205,7.660003662109375,0.8620523485847622
134,2020-07-15,190.55999755859372,193.0500030517578,188.75,192.63999938964844,7558200,0.00448047448550537,4.3000030517578125,-0.4852554585450236
135,2020-07-16,191.00999450683597,191.92999267578125,188.32000732421875,188.32000732421875,4771300,0.0023614449727513698,3.6099853515625,-0.3687253578894446
136,2020-07-17,190.75999450683597,192.1199951171875,190.47000122070312,191.7700042724609,5186800,-0.0013088320359647687,1.649993896484375,0.08708318487623923
137,2020-07-20,190.47999572753903,191.22999572753903,189.47999572753903,190.0200042724609,4089400,-0.0014678066018024571,1.75,-0.21157553790390993
138,2020-07-21,192.2700042724609,193.4499969482422,190.3999938964844,190.3999938964844,5256300,0.009397357124484085,3.050003051757784,0.28534748373844576
139,2020-07-22,192.1000061035156,192.2400054931641,190.6300048828125,191.77999877929688,4182700,-0.000884163754968359,1.610000610351591,-0.20425013792972246
140,2020-07-23,193.25,193.38999938964844,191.47999572753903,191.7100067138672,6036800,0.005986433419813197,1.9100036621094034,0.44327826523537417
141,2020-07-24,194.5200042724609,196.27999877929688,193.0500030517578,193.25,5140800,0.006571820297339714,3.2299957275390625,-0.14842300556586274
142,2020-07-27,192.13999938964844,193.9900054931641,191.7700042724609,193.8300018310547,4309100,-0.012235270566202772,2.220001220703182,-0.16178415810768754
